SIZE
Head,Truncus,Hip,LeftCollar,LeftUpArm,LeftLowArm,LeftHand,RightCollar,RightUpArm,RightLowArm,RightHand,LeftUpLeg,LeftLowLeg,LeftFoot,RightUpLeg,RightLowLeg,RightFoot
19.12,49.88,22,16.1,28,26,17.9681,16.1,28,26,17.9681,45.062,42.058,18.1277,45.062,42.058,18.1277

MOTION
Frames: 3323
Frame Time: 0.0166667
head-fle-ext,head-rot,head-lat,truncus-fle-ext,truncus-rot,truncus-lat,lshoulder-fle-ext,lshoulder-med-lat,lshoulder-add-abd,rshoulder-fle-ext,rshoulder-med-lat,rshoulder-add-abd,lelbow-fle-ext,lelbow-add-abd,relbow-fle-ext,relbow-add-abd,lforearm-pro-sup,rforearm-pro-sup,lwrist-fle-ext,lwrist-med-lat,lwrist-uln-rad,rwrist-fle-ext,rwrist-med-lat,rwrist-uln-rad,lhip-fle-ext,lhip-med-lat,lhip-add-abd,rhip-fle-ext,rhip-med-lat,rhip-add-abd,lknee-fle-ext,lknee-med-lat,lknee-add-abd,rknee-fle-ext,rknee-med-lat,rknee-add-abd,lankle-fle-ext,lankle-med-lat,lankle-inv-eve,rankle-fle-ext,rankle-med-lat,rankle-inv-eve,COM-X,COM-Y,COM-Z
-6.7416,-1.19842,-1.83197,8.29234,9.97079,6.28531,-4.7978,15.2827,-15.1158,2.60956,14.2133,-4.80981,21.0879,7.75365,16.2039,3.53538,1.99201,13.6232,-2.44408,12.2873,5.47163,-4.48806,19.5652,0.0163917,4.04863,-5.83773,-3.74728,8.30441,-10.3684,-6.50235,1.46251,-1.26434,3.8467,38.962,-13.9688,-14.6879,4.56423,1.12523,-2.06983,28.2876,-7.54362,-1.73438,-1.1602,109.362,266.807
-6.89637,-1.11976,-1.87369,8.28752,9.86143,6.20961,-4.6909,15.4519,-15.1902,2.93908,13.4743,-5.19588,22.1126,7.23184,16.3302,3.68443,2.72121,13.4513,-1.58767,12.3439,4.82576,-5.15271,17.8059,-0.177228,3.35674,-6.03048,-3.40175,11.1856,-9.07218,-6.165,1.25716,-1.15627,3.76951,43.1679,-12.5881,-15.6597,4.0045,1.21745,-2.49826,29.3431,-6.38147,-3.03936,-1.20359,109.447,265.739
-6.98604,-1.05758,-1.9612,8.30366,9.77217,6.16228,-4.5433,15.6358,-15.3345,3.02838,13.5258,-5.28365,23.1292,6.69256,16.5299,3.45706,3.4406,12.6864,-0.895547,12.4111,3.75988,-6.12979,15.6172,-0.556648,2.84941,-6.16188,-3.15887,14.0641,-7.76386,-5.89311,1.21059,-1.10201,3.74219,47.3835,-10.3784,-15.487,3.4704,1.28632,-2.85562,27.9354,-4.23935,-3.78889,-1.2455,109.515,264.738
-7.13759,-1.00977,-2.18059,8.40998,9.71497,6.23626,-4.52635,15.3973,-15.4198,3.12118,13.8124,-5.28074,24.4123,5.94301,16.5423,3.1736,4.55643,12.0636,-0.582456,11.6682,3.38077,-6.88871,14.4015,-0.966361,2.43078,-6.26636,-2.9633,15.3999,-6.8702,-5.70796,1.27795,-1.07607,3.74327,49.8085,-8.55389,-14.705,2.89248,1.34392,-3.19224,24.4523,-1.28426,-3.5239,-1.31732,109.543,263.879
-7.20845,-0.932512,-2.40257,8.55334,9.6505,6.38363,-4.06282,16.4592,-16.4701,3.22127,14.3107,-5.10143,24.9757,6.24266,16.7951,2.74492,4.42655,10.8222,-0.358561,10.6128,3.42589,-7.31774,14.0083,-1.09302,2.18479,-6.319,-2.85367,16.1943,-6.32782,-5.56544,1.43624,-1.08681,3.771,51.2474,-7.18198,-13.88,2.40072,1.38009,-3.44348,20.0369,2.8646,-3.59361,-1.39346,109.549,263.078
-7.1423,-0.894293,-2.59806,8.66192,9.62102,6.54603,-3.62593,17.5441,-17.5528,3.41784,15.0021,-4.75346,24.397,7.19939,17.0704,2.29421,3.31068,9.37702,-0.523397,10.6026,2.72049,-7.53315,14.0449,-1.06821,1.29479,-6.41518,-2.51637,18.3298,-5.06607,-4.32508,0.899433,-0.99053,3.54225,53.1856,-4.44938,-12.3072,1.93647,1.40416,-3.63227,16.5137,2.65248,-3.16929,-1.4855,109.558,262.191
-7.06719,-0.852823,-2.74361,9.40256,8.71657,6.30409,-2.9105,18.8664,-18.7593,3.54076,15.9701,-4.31682,23.3744,8.36911,17.3905,1.83122,2.00417,7.72878,-1.51409,10.2468,1.24468,-7.83806,14.4659,-0.919417,-0.186066,-5.49901,-2.60279,19.1869,-4.96393,-2.72414,0.435661,-0.945582,3.34654,53.857,-1.3006,-9.99544,1.43548,1.4239,-3.80323,12.4886,2.03507,-2.94309,-1.67628,109.561,261.409
-6.97496,-0.798866,-2.82817,10.1504,7.81115,6.07194,-2.25657,20.293,-20.0426,3.62364,16.7524,-3.99068,23.2176,8.58165,17.7412,1.51083,1.07512,6.2921,-1.82703,8.82258,0.616177,-7.90831,15.2794,-0.635856,-1.67351,-4.58765,-2.68084,20.0752,-4.86106,-1.13397,-0.102118,-0.890567,3.11835,53.9303,0.812494,-8.36903,1.01463,1.43817,-3.91839,9.14697,0.5409,-2.60424,-1.83951,109.57,260.585
-6.77496,-0.759985,-2.78871,10.7179,6.7719,5.66819,-1.27348,21.2848,-21.2007,3.62603,17.5263,-3.7918,22.8026,8.70346,18.2762,1.31267,0.559282,5.09104,-2.15052,7.38806,0.00297716,-7.7048,16.3397,-0.169499,-3.05736,-3.54656,-2.84868,21.3665,-4.29844,0.837308,-0.667157,-0.842834,2.87009,53.4134,2.51881,-6.93398,0.621282,1.45441,-4.0024,7.78664,-2.12964,-2.55232,-2.01246,109.587,259.673
-6.5156,-0.724927,-2.66309,11.2223,5.68666,5.18314,-0.528261,20.7875,-21.3113,3.53638,18.1657,-3.46068,23.3163,7.68091,18.5306,1.29447,0.947451,4.70526,-2.14729,6.41426,-0.371628,-7.67494,17.0073,0.0397624,-4.41542,-2.46721,-3.0278,22.8712,-3.3522,2.93471,-1.16952,-0.81738,2.62064,52.0191,3.71088,-5.77942,0.137087,1.47164,-4.10357,6.66049,-5.13317,-2.78749,-2.17659,109.612,258.712
