SIZE
Head,Truncus,Hip,LeftCollar,LeftUpArm,LeftLowArm,LeftHand,RightCollar,RightUpArm,RightLowArm,RightHand,LeftUpLeg,LeftLowLeg,LeftFoot,RightUpLeg,RightLowLeg,RightFoot
19.12,49.88,22,16.1,28,26,17.9681,16.1,28,26,17.9681,45.062,42.058,18.1277,45.062,42.058,18.1277

MOTION
Frames: 3231
Frame Time: 0.0166667
head-fle-ext,head-rot,head-lat,truncus-fle-ext,truncus-rot,truncus-lat,lshoulder-fle-ext,lshoulder-med-lat,lshoulder-add-abd,rshoulder-fle-ext,rshoulder-med-lat,rshoulder-add-abd,lelbow-fle-ext,lelbow-add-abd,relbow-fle-ext,relbow-add-abd,lforearm-pro-sup,rforearm-pro-sup,lwrist-fle-ext,lwrist-med-lat,lwrist-uln-rad,rwrist-fle-ext,rwrist-med-lat,rwrist-uln-rad,lhip-fle-ext,lhip-med-lat,lhip-add-abd,rhip-fle-ext,rhip-med-lat,rhip-add-abd,lknee-fle-ext,lknee-med-lat,lknee-add-abd,rknee-fle-ext,rknee-med-lat,rknee-add-abd,lankle-fle-ext,lankle-med-lat,lankle-inv-eve,rankle-fle-ext,rankle-med-lat,rankle-inv-eve,COM-X,COM-Y,COM-Z
-6.29232,24.9165,3.56287,9.21613,7.40002,0.0766279,0.704071,3.48002,-14.1768,1.01932,11.2455,-9.96102,4.16774,0.637863,2.99579,-1.11767,9.01359,7.68111,-1.80377,-0.0120997,-4.21294,-1.79935,-4.10019,-7.59604,-4.96402,-2.03448,-2.09904,-3.73119,1.30109,0.465436,1.42412,-7.42548,1.08425,0.396653,7.6078,-0.0177678,-4.96002,3.30863,3.23869,-1.54484,-9.16513,-0.0951868,66.7433,108.002,210.885
-6.29914,24.8959,3.57548,9.23565,7.37608,0.0868617,0.682032,3.63119,-14.207,1.00238,11.234,-9.92838,4.20136,0.585703,3.19585,-1.00232,8.86039,7.65145,-1.71086,-0.057195,-4.19768,-1.89222,-4.04686,-7.46979,-4.87309,-2.08519,-2.18006,-3.66808,1.2651,0.486862,1.48931,-7.40989,1.11426,0.393942,7.61016,-0.0189995,-4.96974,3.38443,3.27024,-1.51532,-9.16111,-0.108776,66.811,108.003,210.87
-6.32816,24.8713,3.60091,9.28875,7.34568,0.0836619,0.62576,3.8571,-14.2425,0.993676,11.2237,-9.89396,4.25882,0.543635,3.41355,-0.904665,8.65214,7.62389,-1.62088,-0.0977265,-4.18809,-1.99721,-4.00766,-7.35352,-4.78167,-2.13969,-2.25526,-3.61839,1.22112,0.515292,1.57666,-7.40399,1.12545,0.391479,7.61261,-0.0203719,-4.98597,3.48291,3.30202,-1.48214,-9.15815,-0.124386,66.8781,108.004,210.857
-6.35894,24.844,3.61863,9.34201,7.30524,0.0799958,0.577357,4.09309,-14.2833,1.01624,11.2201,-9.87634,4.31954,0.527065,3.61123,-0.811056,8.44573,7.60418,-1.53749,-0.138641,-4.18757,-2.1149,-3.98674,-7.26256,-4.68304,-2.18459,-2.31702,-3.57418,1.17113,0.534564,1.67014,-7.41075,1.13189,0.389625,7.61347,-0.020026,-4.99974,3.59157,3.32658,-1.45113,-9.15728,-0.138399,66.9461,108.004,210.848
-6.38408,24.8144,3.62682,9.41065,7.26168,0.0705573,0.536475,4.34686,-14.3256,1.04206,11.2413,-9.86366,4.38849,0.519992,3.76757,-0.757699,8.23823,7.58125,-1.46899,-0.18446,-4.17707,-2.20669,-3.97474,-7.21194,-4.57776,-2.26961,-2.40712,-3.54291,1.1239,0.55464,1.78879,-7.38555,1.16103,0.389376,7.6155,-0.0199327,-5.0175,3.709,3.35238,-1.42259,-9.16022,-0.153436,67.0137,108.005,210.841
-6.41429,24.7862,3.63778,9.49156,7.20887,0.0596842,0.471928,4.63456,-14.3658,1.06617,11.2878,-9.85511,4.4754,0.521563,3.87063,-0.748934,8.00307,7.56652,-1.37803,-0.222164,-4.16537,-2.27546,-3.98555,-7.20292,-4.47665,-2.35184,-2.49606,-3.51461,1.07267,0.573494,1.90729,-7.37951,1.19032,0.390574,7.61676,-0.0205721,-5.03262,3.84451,3.37776,-1.3928,-9.1648,-0.171177,67.086,108.004,210.834
-6.41886,24.7583,3.62475,9.55803,7.14283,0.0550224,0.424793,4.88646,-14.3972,1.10942,11.3489,-9.86638,4.56106,0.529619,3.94966,-0.728026,7.81309,7.56226,-1.2818,-0.251832,-4.15548,-2.35663,-3.99364,-7.19314,-4.36421,-2.47633,-2.60758,-3.48876,1.0137,0.582317,2.0338,-7.30862,1.25086,0.390859,7.61704,-0.0210527,-5.0456,3.96404,3.39732,-1.36866,-9.1706,-0.189451,67.1618,108.003,210.83
-6.39936,24.7271,3.59393,9.62599,7.07923,0.0484663,0.389958,5.12168,-14.426,1.1411,11.4361,-9.88259,4.65514,0.544589,4.00962,-0.712415,7.64982,7.54338,-1.19295,-0.282618,-4.14383,-2.42066,-3.98961,-7.19225,-4.24161,-2.62776,-2.73457,-3.46761,0.959416,0.589174,2.15975,-7.21505,1.32734,0.393385,7.61704,-0.0233563,-5.04463,4.07381,3.41279,-1.34854,-9.17632,-0.206018,67.24,108.001,210.828
-6.37937,24.6964,3.57448,9.70003,7.01645,0.034169,0.326484,5.37252,-14.4523,1.16201,11.5456,-9.89909,4.76485,0.563159,4.06503,-0.701209,7.46846,7.51671,-1.11468,-0.291523,-4.13649,-2.47842,-3.99792,-7.1858,-4.13575,-2.74645,-2.84091,-3.44527,0.906012,0.601315,2.26334,-7.15833,1.38615,0.396007,7.6171,-0.0258333,-5.04075,4.17496,3.42437,-1.32909,-9.18368,-0.225017,67.3176,107.998,210.825
-6.33865,24.6653,3.54512,9.75515,6.95131,0.0239414,0.278351,5.58204,-14.4742,1.19629,11.6445,-9.92772,4.86612,0.581906,4.11298,-0.67573,7.30824,7.51714,-1.04774,-0.267972,-4.1452,-2.52822,-4.01925,-7.17093,-4.02859,-2.8009,-2.91043,-3.41849,0.846155,0.607963,2.35169,-7.14049,1.42175,0.398417,7.61566,-0.0278775,-5.0279,4.24995,3.42959,-1.31367,-9.19021,-0.241133,67.3909,107.995,210.823
