SIZE
Head,Truncus,Hip,LeftCollar,LeftUpArm,LeftLowArm,LeftHand,RightCollar,RightUpArm,RightLowArm,RightHand,LeftUpLeg,LeftLowLeg,LeftFoot,RightUpLeg,RightLowLeg,RightFoot
19.12,49.88,22,16.1,28,26,17.9681,16.1,28,26,17.9681,45.062,42.058,18.1277,45.062,42.058,18.1277

MOTION
Frames: 3694
Frame Time: 0.0166667
head-fle-ext,head-rot,head-lat,truncus-fle-ext,truncus-rot,truncus-lat,lshoulder-fle-ext,lshoulder-med-lat,lshoulder-add-abd,rshoulder-fle-ext,rshoulder-med-lat,rshoulder-add-abd,lelbow-fle-ext,lelbow-add-abd,relbow-fle-ext,relbow-add-abd,lforearm-pro-sup,rforearm-pro-sup,lwrist-fle-ext,lwrist-med-lat,lwrist-uln-rad,rwrist-fle-ext,rwrist-med-lat,rwrist-uln-rad,lhip-fle-ext,lhip-med-lat,lhip-add-abd,rhip-fle-ext,rhip-med-lat,rhip-add-abd,lknee-fle-ext,lknee-med-lat,lknee-add-abd,rknee-fle-ext,rknee-med-lat,rknee-add-abd,lankle-fle-ext,lankle-med-lat,lankle-inv-eve,rankle-fle-ext,rankle-med-lat,rankle-inv-eve,COM-X,COM-Y,COM-Z
8.28904,2.44258,1.69808,7.27717,5.17946,0.67331,-0.0212259,46.1097,-21.414,8.31866,0.0823141,-10.9216,32.6026,-7.38051,5.28374,1.67826,3.24155,32.4037,-14.5912,-21.0179,-19.6028,-17.0951,6.59352,1.56622,-4.71118,0.686961,1.1272,-6.58576,-1.47128,-0.0631104,2.82682,-25.0962,-1.45419,0.521052,15.3833,-0.635904,-0.803334,8.68076,1.85948,-1.77068,-14.0405,0.236207,-12.0822,108.123,114.242
8.5201,2.38843,1.76424,7.17472,5.31233,0.690875,1.05365,46.0455,-22.3798,8.28875,0.399169,-10.8951,33.773,-8.26037,5.11844,1.64478,3.46671,32.3687,-14.8549,-22.3022,-19.8972,-17.0667,6.63678,1.59873,-4.68832,0.566871,1.07855,-6.59187,-1.45778,-0.0601372,2.83326,-24.9912,-1.43138,0.519491,15.3845,-0.634626,-0.759037,8.71999,1.92038,-1.77381,-14.0474,0.233503,-12.0829,108.139,114.231
8.62916,2.34313,1.82961,7.09196,5.23865,0.738657,2.2227,46.0274,-23.4424,8.26093,0.826206,-10.8864,34.672,-9.06225,4.94277,1.62143,3.67063,32.2136,-15.2801,-23.5835,-20.5214,-17.0498,6.78562,1.64633,-4.69879,0.609612,1.05724,-6.62271,-1.63365,-0.0909899,2.83733,-24.8426,-1.39846,0.518178,15.3838,-0.635042,-0.706047,8.74797,1.9878,-1.77516,-14.0537,0.231646,-12.0777,108.158,114.227
8.61686,2.33939,1.90887,7.02075,5.12182,0.780814,3.19855,46.1054,-24.3506,8.2312,1.2158,-10.8745,35.8502,-10.2061,4.79708,1.59794,3.72507,32.1025,-15.5454,-24.6009,-20.4191,-17.0478,6.88009,1.68781,-4.72002,0.661266,1.03662,-6.65145,-1.81418,-0.12317,2.83906,-24.6903,-1.35902,0.513276,15.3871,-0.635155,-0.653384,8.76718,2.06161,-1.77442,-14.0605,0.230458,-12.0709,108.18,114.226
8.51759,2.36044,1.98097,6.95313,4.96491,0.816408,4.08411,46.2139,-25.2288,8.18443,1.57469,-10.8621,36.7604,-11.0816,4.69123,1.57175,3.69404,32.0526,-15.9064,-25.4295,-20.4802,-17.0746,6.90426,1.70916,-4.74446,0.726784,0.996604,-6.67213,-1.99695,-0.154995,2.85566,-24.5455,-1.2957,0.512519,15.3895,-0.635525,-0.608778,8.77992,2.12318,-1.77141,-14.0651,0.230813,-12.0627,108.202,114.228
8.32016,2.40363,2.04086,6.88115,4.77303,0.847468,4.90174,46.5235,-26.212,8.12384,1.98465,-10.8742,37.498,-11.7256,4.63155,1.561,3.43163,31.9161,-16.3556,-26.1941,-20.8203,-17.1355,7.01493,1.72521,-4.76697,0.77138,0.937232,-6.68789,-2.18215,-0.187537,2.88973,-24.3644,-1.21537,0.510825,15.3917,-0.635651,-0.565303,8.78022,2.18421,-1.76548,-14.069,0.232903,-12.0541,108.226,114.234
8.01351,2.47294,2.10145,6.82888,4.5474,0.873912,5.44464,46.9986,-27.0589,8.04594,2.33958,-10.8972,38.4602,-12.616,4.64206,1.5588,2.96557,31.8236,-16.5679,-26.8758,-20.6331,-17.2151,7.08177,1.73818,-4.78715,0.830971,0.884455,-6.69993,-2.36968,-0.220284,2.93275,-24.1995,-1.14422,0.507548,15.3944,-0.635762,-0.527283,8.78499,2.25222,-1.75555,-14.0724,0.236154,-12.0422,108.25,114.242
7.69402,2.56557,2.15042,6.73056,4.45767,0.890772,5.69019,47.7006,-27.8575,7.94442,2.65285,-10.9332,39.2623,-13.2749,4.7146,1.5567,2.26813,31.7914,-16.7053,-27.3485,-20.5956,-17.3083,7.10585,1.7338,-4.74732,0.714923,0.812654,-6.64513,-2.385,-0.239779,2.98743,-24.0452,-1.06876,0.507706,15.3977,-0.635587,-0.504419,8.79821,2.31064,-1.74366,-14.0754,0.240907,-12.028,108.273,114.24
7.35044,2.6791,2.2018,6.64389,4.33785,0.906262,5.7917,48.5001,-28.6706,7.82909,2.97447,-10.9883,39.9113,-13.7849,4.81856,1.5596,1.5162,31.7202,-16.818,-27.7185,-20.7885,-17.4093,7.19461,1.71084,-4.70934,0.591121,0.740693,-6.58385,-2.40044,-0.258767,3.04397,-23.8702,-0.988144,0.511244,15.3999,-0.634725,-0.48714,8.79549,2.35683,-1.72819,-14.078,0.246139,-12.0131,108.294,114.239
6.95122,2.79001,2.26059,6.57928,4.21126,0.921487,5.76996,49.1987,-29.3083,7.72358,3.23287,-11.0441,40.661,-14.4938,4.94449,1.5608,0.890667,31.6943,-16.7542,-28.0346,-20.628,-17.4938,7.2654,1.69088,-4.67486,0.482481,0.698237,-6.52397,-2.41765,-0.278111,3.08471,-23.6925,-0.933581,0.508351,15.4037,-0.635366,-0.471049,8.77279,2.39823,-1.70916,-14.0823,0.251985,-11.9977,108.314,114.241
