SIZE
Head,Truncus,Hip,LeftCollar,LeftUpArm,LeftLowArm,LeftHand,RightCollar,RightUpArm,RightLowArm,RightHand,LeftUpLeg,LeftLowLeg,LeftFoot,RightUpLeg,RightLowLeg,RightFoot
19.12,49.88,22,16.1,28,26,17.9681,16.1,28,26,17.9681,45.062,42.058,18.1277,45.062,42.058,18.1277

MOTION
Frames: 1798
Frame Time: 0.0166667
head-fle-ext,head-rot,head-lat,truncus-fle-ext,truncus-rot,truncus-lat,lshoulder-fle-ext,lshoulder-med-lat,lshoulder-add-abd,rshoulder-fle-ext,rshoulder-med-lat,rshoulder-add-abd,lelbow-fle-ext,lelbow-add-abd,relbow-fle-ext,relbow-add-abd,lforearm-pro-sup,rforearm-pro-sup,lwrist-fle-ext,lwrist-med-lat,lwrist-uln-rad,rwrist-fle-ext,rwrist-med-lat,rwrist-uln-rad,lhip-fle-ext,lhip-med-lat,lhip-add-abd,rhip-fle-ext,rhip-med-lat,rhip-add-abd,lknee-fle-ext,lknee-med-lat,lknee-add-abd,rknee-fle-ext,rknee-med-lat,rknee-add-abd,lankle-fle-ext,lankle-med-lat,lankle-inv-eve,rankle-fle-ext,rankle-med-lat,rankle-inv-eve,COM-X,COM-Y,COM-Z
2.49736,3.21034,-10.4204,0.385416,-3.25825,-4.64181,5.44992,35.8272,-12.7277,-3.03143,5.72045,-17.634,5.35409,-3.5715,10.2919,-6.95345,-22.8958,17.801,-3.66201,-2.75911,-5.01437,-1.6688,-3.22554,-2.11362,8.77925,-14.1865,-5.45963,6.30643,3.91279,-5.06649,4.9571,12.588,5.23534,-4.58521,0.661461,18.9454,-5.84873,1.53355,-4.76229,3.02227,-0.440386,-15.7596,20.0234,108.759,162.185
2.66599,3.53428,-10.47,0.291429,-3.24371,-4.67465,5.44402,36.4427,-13.0317,-3.19484,5.42442,-17.539,5.2736,-3.63085,10.0984,-6.90852,-23.1498,17.7547,-3.94565,-2.83182,-5.37569,-1.63674,-3.41151,-1.9717,8.31425,-13.5145,-5.60051,7.3653,4.33238,-4.75041,4.42353,11.6905,5.30013,-2.72526,0.341108,18.1849,-5.19406,1.53889,-4.1515,1.39875,-0.604136,-14.825,19.686,108.898,161.603
2.76221,3.90715,-10.505,0.195948,-3.17196,-4.65362,5.45457,36.8882,-13.2742,-3.31965,5.29417,-17.4725,5.29446,-3.72601,9.82889,-6.75659,-23.1548,17.5233,-4.10628,-3.09493,-5.57439,-1.6104,-3.39299,-1.95929,7.95292,-12.8729,-5.66342,8.35535,4.91016,-4.50675,4.04721,10.7015,5.36046,-0.806274,0.033321,17.3514,-4.37951,1.69788,-3.36394,-0.457356,-0.748043,-13.6947,19.388,109.041,161.047
2.76685,4.35809,-10.5101,0.156936,-3.24071,-4.64826,5.48625,37.2186,-13.4764,-3.41516,5.17156,-17.3504,5.33304,-3.77476,9.60026,-6.66635,-23.2599,17.3341,-4.18409,-3.29018,-5.74188,-1.49723,-3.43632,-1.89498,7.63031,-12.0115,-5.70306,9.53029,5.4804,-4.15004,3.8106,9.60733,5.40739,1.23961,-0.266974,16.4079,-3.52613,1.87067,-2.49707,-2.12562,-0.835216,-12.6289,19.1198,108.87,160.518
2.70885,4.71023,-10.5371,0.131434,-3.26095,-4.62147,5.481,37.674,-13.6921,-3.50976,5.01882,-17.1674,5.39681,-3.76802,9.42286,-6.65434,-23.5425,17.2265,-4.23293,-3.3925,-5.91004,-1.32724,-3.58327,-1.76087,7.31213,-11.0509,-5.73973,10.6106,6.18195,-3.84165,3.64027,8.49953,5.47465,3.18793,-0.550416,15.4517,-2.72917,1.99836,-1.64063,-3.80584,-0.878539,-11.5198,18.8923,108.679,160.05
2.57926,5.03367,-10.5204,0.10708,-3.19979,-4.5919,5.50262,38.0183,-13.8519,-3.59613,5.00272,-17.0351,5.5525,-3.79991,9.23996,-6.56105,-23.6044,17.0189,-4.18946,-3.71422,-5.93844,-1.26153,-3.57267,-1.7194,7.0994,-10.3378,-5.69204,11.5969,6.96088,-3.60825,3.56721,7.59493,5.51841,5.11133,-0.754269,14.4821,-1.59646,2.25922,-0.504987,-5.68205,-0.883259,-10.2678,18.7009,108.473,159.613
2.40221,5.3794,-10.4479,0.101444,-3.25581,-4.61245,5.54164,38.2974,-13.9737,-3.6996,4.98343,-16.8804,5.76925,-3.84953,9.13637,-6.53896,-23.5795,16.8844,-4.08585,-4.15422,-5.90419,-1.20303,-3.57674,-1.68792,6.93166,-9.82724,-5.62039,12.5625,7.67735,-3.36379,3.55213,6.92987,5.56714,6.88654,-0.940889,13.5614,-1.11273,2.25171,-0.0269964,-7.33694,-0.853219,-9.16109,18.5816,108.232,159.243
2.20132,5.61875,-10.3887,0.0834511,-3.2785,-4.64729,5.54171,38.698,-14.1041,-3.82825,4.91853,-16.709,5.9452,-3.78656,9.09977,-6.56801,-23.9696,16.8503,-4.02718,-4.20825,-5.97451,-1.15161,-3.64146,-1.63776,6.77092,-9.46027,-5.53649,13.6078,8.31146,-3.03505,3.56341,6.42103,5.62995,8.71478,-1.12222,12.5764,-0.860743,2.23461,0.241852,-8.95088,-0.800188,-8.05938,18.5148,107.95,158.923
2.02029,5.79693,-10.2984,0.0432181,-3.24547,-4.67892,5.56379,39.0324,-14.1863,-3.94953,4.90293,-16.625,6.17051,-3.74329,9.06604,-6.50939,-24.251,16.8113,-3.96629,-4.29105,-5.97082,-1.22337,-3.61924,-1.66883,6.65419,-9.41593,-5.3842,14.5124,8.81921,-2.7646,3.587,6.1608,5.68601,10.4818,-1.23457,11.5933,-0.693196,2.29272,0.420772,-10.6299,-0.696812,-6.90596,18.4974,107.948,158.647
1.83791,5.9471,-10.1863,0.0155255,-3.24723,-4.75873,5.61693,39.3108,-14.2195,-4.05938,4.87462,-16.5468,6.38143,-3.69664,9.05351,-6.48965,-24.5294,16.8305,-3.91468,-4.27183,-5.99443,-1.28561,-3.59861,-1.70987,6.49629,-9.43828,-5.20389,15.3332,9.08005,-2.43696,3.59429,5.95402,5.71848,12.0528,-1.27503,10.6552,-0.530005,2.46617,0.584347,-12.126,-0.59068,-5.79923,18.5041,107.933,158.39
1.64243,6.01971,-10.1269,-0.015822,-3.22914,-4.80376,5.65942,39.5916,-14.2315,-4.17481,4.81346,-16.4572,6.59637,-3.6518,9.06295,-6.5233,-24.7858,16.916,-3.88068,-4.11848,-6.05074,-1.3058,-3.62448,-1.73222,6.25972,-9.39037,-5.00545,16.141,9.12741,-2.02505,3.59461,5.64704,5.75621,13.5829,-1.32586,9.63202,-0.766898,2.65744,0.445871,-13.4837,-0.454369,-4.68864,18.5336,107.899,158.154
1.45823,6.01209,-10.0675,-0.0503339,-3.14143,-4.82035,5.69354,39.8377,-14.2243,-4.26329,4.76042,-16.4481,6.85175,-3.59901,9.07461,-6.47591,-24.9404,17.0046,-3.86264,-3.94082,-6.04055,-1.39586,-3.63585,-1.75103,6.0196,-9.35185,-4.77803,16.7694,9.01534,-1.67214,3.5905,5.33592,5.78796,14.9573,-1.35935,8.59726,-0.984446,2.90009,0.31859,-14.8346,-0.262311,-3.4557,18.5801,107.851,157.909
1.25845,5.97098,-10.0056,-0.0614624,-3.03492,-4.86568,5.76102,39.9635,-14.1774,-4.33516,4.73046,-16.427,7.09074,-3.53781,9.08578,-6.45888,-24.9733,17.0676,-3.86062,-3.64438,-6.05757,-1.50011,-3.67748,-1.73844,5.70539,-9.16679,-4.59217,17.2467,8.76482,-1.30026,3.56936,4.906,5.82192,16.0348,-1.34133,7.62708,-1.22277,3.16851,0.205646,-15.858,-0.0625009,-2.37612,18.6253,107.798,157.637
1.0183,5.92148,-9.99679,-0.0575702,-2.93066,-4.86565,5.81412,40.0473,-14.1276,-4.40019,4.69997,-16.3844,7.34151,-3.47581,9.1056,-6.46884,-24.9452,17.1209,-3.86234,-3.27334,-6.07062,-1.62999,-3.7643,-1.68561,5.32489,-8.86047,-4.41567,17.6384,8.46496,-0.914342,3.56855,4.43093,5.87782,16.8991,-1.30996,6.6468,-1.51806,3.41129,0.0859022,-16.6513,0.151464,-1.29614,18.6561,107.75,157.313
0.79533,5.81998,-9.98055,-0.0553929,-2.83069,-4.79751,5.89268,39.9691,-14.0488,-4.44746,4.64388,-16.4125,7.63455,-3.41651,9.14052,-6.40901,-24.7216,17.195,-3.87421,-2.82939,-6.05717,-1.67437,-3.78193,-1.69808,4.96034,-8.48947,-4.19018,17.8522,8.16323,-0.695919,3.59625,4.02564,5.93447,17.5174,-1.27474,5.74988,-1.81178,3.58736,-0.0136622,-17.1928,0.395697,-0.318666,18.701,107.699,156.98
0.548133,5.63658,-9.95547,-0.0725934,-2.66489,-4.74292,5.98504,39.7591,-13.9453,-4.46714,4.61754,-16.4072,7.92287,-3.33696,9.13948,-6.37129,-24.342,17.224,-3.89056,-2.36453,-6.07175,-1.70196,-3.77664,-1.73295,4.61829,-8.13229,-3.97263,17.9225,7.98315,-0.591976,3.69846,3.71907,6.01319,17.8239,-1.27732,5.02648,-2.16604,3.72142,-0.118919,-17.4607,0.551447,0.410125,18.7443,107.649,156.636
0.245576,5.45269,-9.99059,-0.135312,-2.55589,-4.61056,6.09464,39.424,-13.8105,-4.45858,4.59214,-16.3493,8.20986,-3.27675,9.09256,-6.36238,-23.8894,17.2332,-3.91933,-1.83717,-6.11585,-1.72138,-3.76456,-1.77938,4.2918,-7.74061,-3.71036,17.9099,7.85866,-0.596974,3.91594,3.43516,6.12036,17.8705,-1.22178,4.42057,-2.63415,3.89448,-0.251053,-17.4047,0.716789,0.943014,18.7917,107.598,156.285
-0.00273367,5.1473,-10.0198,-0.288507,-2.45363,-4.41375,6.21481,38.9105,-13.6198,-4.4359,4.48544,-16.3214,8.53563,-3.22777,9.04732,-6.29964,-23.289,17.3021,-3.93648,-1.34578,-6.10691,-1.7484,-3.76176,-1.81978,4.07914,-7.31074,-3.37862,17.8139,7.72082,-0.780451,4.21864,3.26956,6.2274,17.6993,-1.15829,3.93633,-3.10616,4.02462,-0.38041,-17.1223,0.853991,1.36399,18.8717,107.538,155.953
